year,month,month_code,district,total_snap_persons,total_snap_households,total_snap_benefits,temporary_assistance_snap_persons,non_temporary_assistance_snap_persons
2025,June,6,Fulton,8091,4944,1541041,1803,6288
2025,June,6,Genesee,4727,2929,821384,874,3853
2025,June,6,Greene,3972,2553,779718,871,3101
2025,June,6,Hamilton,349,201,58586,43,306
2025,June,6,Herkimer,9052,5246,1634601,1237,7815
2025,June,6,Jefferson,14215,8113,2633293,2574,11641
2025,June,6,Lewis,2816,1620,453887,430,2386
2025,June,6,Livingston,5219,3182,944032,1142,4077
2025,June,6,Madison,6276,3679,1165609,986,5290
2025,June,6,Monroe,107583,62800,21875225,27846,79737
2025,June,6,Montgomery,8259,4509,1539951,1688,6571
2025,June,6,Nassau,43832,31667,8577333,14157,29675
2025,June,6,Niagara,26956,16127,5147787,5427,21529
